Name,👤 Assigned to,Date
Setup 3D Tiles server,,
Show past drone path (telemetry) when drone is selected,,
Basic smoke tests,,
Ensure production builds w/o errors,,
Ensure dev server runs w/o errors,,
Ensure all expected routes return 200,,
Advanced tests (low priotiry),,
Capture photos using old drone for 3D map of campus,,
Re-load planned flight when clicking on drone,,
Allow editing waypoints,,
Setup NHost CLI,,
Buy more server storage,,
Convert points in telemetry and flights tables to PostGIS points,Ethan Dawes (People/Ethan%20Dawes%2079bf69fcf0b449cab6f2dfba28de51ad.csv),
Be able to see past drone locations in the viewer by clicking timeline,,
add drone follow-along,,
Component tests,,
Flow tests,,
Wire jetson nano to pixhawk,,
Wire power distribution board to ESCs,,
Test ESCs with motors to make sure they work,,
add reviews for hardware ordered,,
Design gimbal frame,,
wire connectors,,
wire escs to pixhawk,,
Operating in Purdue airport airspace,,
Operating drones without line of sight,,
How to navigate with other drones in airspace,,
Certifying a drone to fly over people/cars,,
Legality,,
Part 135 for package delivery drones,,
,,
,,
Presentations,,
Create Bezier curves,,
Look into robot_localization package for GPS/GNSS implementation,,
