Name,Date,Parent item,Sub-item,👤 Assigned to,👥 Teams
Presentations,,,,,
Link db to drone status page,"October 31, 2023 → November 5, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Get Inventory,"September 1, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Draft database schema,"September 10, 2023 → September 16, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research SLAM Algorithms,"October 17, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Integrate Supabase,"October 7, 2023 → October 8, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Find new Navigation camera,"September 18, 2023 → September 28, 2023",,"Test accuracy of Realsense (Tasks/Test%20accuracy%20of%20Realsense%20734a0916d21b4798a14f79db76e04c7d.csv), Untitled (https://www.notion.so/9ce78fca2b0843469b710f3593a3cefc?pvs=21), Researching Better Alternatives to RealSense Camera (Tasks/Researching%20Better%20Alternatives%20to%20RealSense%20Camer%200bc8efd7179f4672b619a34593e8894e.csv)",,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Do we need a part 107 pilot? NO,"February 4, 2024",Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Research how supabase realtime works with ORM,"October 8, 2023 → October 12, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup gql subscriptions,"October 21, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Strip whitespace at end of lines,"November 4, 2023 → November 5, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research SLAM Algorithms,"October 2, 2023 → October 10, 2023",,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Create tables in supabase,"September 23, 2023 → September 23, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Show past drone path (telemetry) when drone is selected,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Ensure all expected routes return 200,,Basic smoke tests (Tasks/Basic%20smoke%20tests%209f6315827bad4f6d8c1df9ea3c412831.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
How to navigate with other drones in airspace,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Component tests,,Advanced tests (low priotiry) (Tasks/Advanced%20tests%20(low%20priotiry)%20730d22c868a24509848d0bf3d86f7d99.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research new gimbal,"January 23, 2024 → January 27, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Move to Nhost,"November 8, 2023 → November 12, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Flow tests,,Advanced tests (low priotiry) (Tasks/Advanced%20tests%20(low%20priotiry)%20730d22c868a24509848d0bf3d86f7d99.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Show the drone flying along the simulated path,"September 26, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Operating drones without line of sight,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Basic smoke tests,,,"Ensure production builds w/o errors (Tasks/Ensure%20production%20builds%20w%20o%20errors%200f7bd89b618f410eb3f5fd5e527137ae.csv), Ensure dev server runs w/o errors (Tasks/Ensure%20dev%20server%20runs%20w%20o%20errors%202fb2a477aee24887be71027f06dfa5c1.csv), Ensure all expected routes return 200 (Tasks/Ensure%20all%20expected%20routes%20return%20200%20f29acc38c3fe4efe9ca1886e9d5a0781.csv)",,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create signin page,"October 29, 2023 → November 4, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Strip whitespace on empty lines,"November 4, 2023 → November 5, 2023",Minimal code style precomit hook lint (Tasks/Minimal%20code%20style%20precomit%20hook%20lint%2096d0c639d293411e86522d72a4fee6fc.csv),,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Create VM,"February 3, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
