Column name,Datatype,Notes,Foreign Key,Primary Key
user_id,int8,,No,Yes
name,String,,No,No
"email ",String,,No,No
role,enum,"admin, member, vendor, customer",No,No
provider,String,,No,No
order_id,int8,,No,Yes
user_id,int8,,Yes,No
vendor_id,int8,,Yes,No
dest_lat,float8,,No,No
dest_long,float8,,No,No
pickup_lat,float8,,No,No
pickup_long,float8,,No,No
completed,bool,,No,No
price,float8,,No,No
food_items,int[],,No,No
placed_at,int8,,No,No
confirmed_at,int8,,No,No
delivered_at,int8,,No,No
flight_id,int8,,No,Yes
drone_id,int8,,Yes,No
order_id,int8,,Yes,No
route,float[][],If we want to specify waypoints somehow?,No,No
start_lat,float8,Each stretch from A to B is a flight (whether or not carrying a package),No,No
start_long,float8,,No,No
end_lat,float8,,No,No
end_long,float8,,No,No
status,enum,"success, progress, failed",No,No
drone_id,int8,,Yes,No
flight_id,int8,,Yes,No
altitude,float8,,No,No
heading,float8,radians,No,No
timestamp,int8,epoch format,No,No
velocity,float8,,No,No
latitude,float8,,No,No
longitude,float8,,No,No
battery,int2,,No,No
has_package,bool,,No,No
stage_of_flight,enum,"idle, in_flight, takeoff, repositioning, etc",No,No
drone_id,int8,,No,Yes
completion_date,int8,date the drone is fully operational. Epoch format,No,No
is_active,bool,if the drone is still in operations,No,No
is_exists,bool,,No,No
,,,No,No
id,int8,,No,Yes
name,String,,No,No
